ID,Draw date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Jackpot
1,07-11-2015,2,3,34,43,49,50,13156375
2,04-11-2015,11,13,18,25,29,47,8842605
3,31-10-2015,26,39,41,42,55,59,6677278
4,28-10-2015,26,36,41,46,49,52,2319221
5,24-10-2015,29,31,43,55,58,59,4307602
6,21-10-2015,13,14,21,25,51,53,14612465
7,17-10-2015,8,30,37,40,46,50,12110605
8,14-10-2015,7,13,20,27,39,52,7875986
9,10-10-2015,2,3,16,32,53,54,5279697
10,07-10-2015,5,7,11,30,44,49,3348134
11,03-10-2015,7,8,9,14,35,44,3049537
12,30-09-2015,5,8,11,17,40,45,1621605
13,26-09-2015,9,17,31,33,41,42,5142260
14,23-09-2015,9,17,21,23,35,36,1919343
15,19-09-2015,14,26,28,31,32,44,2012794
16,16-09-2015,12,14,21,22,37,43,2237284
17,12-09-2015,14,20,28,31,40,46,4668787
18,09-09-2015,6,18,20,21,29,31,1782588
19,05-09-2015,24,29,33,40,43,49,5006137
20,02-09-2015,2,9,27,29,33,40,4993453
21,29-08-2015,12,18,23,33,42,43,3916107
22,26-08-2015,3,4,7,18,48,49,3807818
23,22-08-2015,7,19,22,28,40,44,3034662
24,19-08-2015,5,6,7,25,27,33,1214870
25,15-08-2015,4,8,10,21,41,49,4386276
26,08-12-2015,6,15,17,20,24,25,1646305
27,08-08-2015,6,22,28,30,39,44,3912064
28,08-05-2015,5,8,12,28,39,41,5839203
29,08-01-2015,1,16,27,42,46,47,4789857
30,29-07-2015,18,21,31,42,45,47,2573569
31,25-07-2015,2,4,5,15,20,48,7544754
32,22-07-2015,7,23,26,33,38,45,5595590
33,18-07-2015,8,15,17,33,41,47,4269704
34,15-07-2015,4,7,14,21,22,29,886754
35,11-07-2015,6,12,32,36,38,47,4805874
36,08-07-2015,3,10,35,38,40,41,2604015
37,04-07-2015,13,14,35,39,46,49,5517016
38,01-07-2015,4,10,13,18,29,33,1670202
39,27-06-2015,2,4,8,21,30,38,3343592
40,24-06-2015,14,23,28,33,35,42,5872705
41,20-06-2015,1,6,23,25,32,35,4255281
42,17-06-2015,2,8,12,15,21,42,12903324
43,13-06-2015,18,23,25,37,39,47,11267625
44,10-06-2015,23,29,30,39,42,49,7847797
45,06-06-2015,10,14,19,24,28,33,5632963
46,03-06-2015,17,32,39,40,43,49,2859050
47,30-05-2015,6,7,23,27,38,49,3488349
48,27-05-2015,12,27,28,39,41,48,13538113
49,23-05-2015,1,8,22,30,34,40,10834187
50,20-05-2015,6,9,22,38,39,41,7714351
51,16-05-2015,7,11,15,32,46,48,5799595
52,31-12-2014,12,18,22,37,38,49,6688109
53,27-12-2014,11,23,28,30,32,46,4154032
54,24-12-2014,7,9,13,44,47,48,8197213
55,20-12-2014,18,22,23,32,40,42,4983828
56,17-12-2014,2,19,24,33,35,46,15010730
57,13-12-2014,18,30,33,34,38,48,12244311
58,10-12-2014,14,15,31,36,42,47,8466374
59,06-12-2014,19,23,40,43,45,49,6295958
60,03-12-2014,4,17,19,25,35,37,2059185
61,29-11-2014,6,11,18,19,38,42,3592162
62,26-11-2014,26,28,29,30,41,49,2640517
63,22-11-2014,2,3,5,15,22,29,7584256
64,19-11-2014,2,15,35,36,38,39,5905060
65,15-11-2014,5,26,28,30,42,44,3884456
66,12-11-2014,5,9,10,13,41,44,1709052
67,08-11-2014,6,7,22,27,35,42,3327004
68,05-11-2014,2,5,21,25,34,36,2128101
69,01-11-2014,3,5,9,28,35,47,8850906
70,29-10-2014,13,14,17,25,31,49,7059487
71,25-10-2014,11,15,17,30,43,49,5708496
